Key,SourceString
Q01,"I usually believe that I can control the events that happen in my life."
Q02,"I find it comfortable and enjoyable to talk to strangers."
Q03,"Sometimes my life feels like a series of random coincidences that I cannot control."
Q04,"I tend to deeply empathize with others' emotions and easily feel sadness."
Q05,"Manipulating others cleverly to get what I want is a smart and natural thing to do."
Q06,"I must take quick and harsh revenge on those who have harmed me."
Q07,"I have felt a strange interest or pleasure when seeing others suffer or in trouble."
Q08,"I tend to feel less guilty than others, regardless of the consequences of my actions."
Q09,"Sometimes I feel that my movements are automatic, as if my body is moving on its own."
Q10,"I am the complete author of my actions right now."
Q11,"While I am acting, there are times when I feel like a remote-controlled robot."
Q12,"I feel like someone is controlling me."
Q13,"I know who is controlling me."
Q14,"Who could be controlling me?"
